"","Year","Catch_SAU_tonnes","Catch_WAT_tonnes","Catch_STO_tonnes","Land_SAU_tonnes","Land_WAT_tonnes","Land_STO_tonnes","Stckbio_lwr_STO_kgkm2","Stckbio_STO_kgkm2","Stckbio_upr_STO_kgkm2","Stckbio_lwr_SUR_kgkm2","Stckbio_SUR_kgkm2","Stckbio_upr_SUR_kgkm2","Tbio_lwr_SUR_kgkm2","Tbio_SUR_kgkm2","Tbio_upr_SUR_kgkm2","ER_SAU_SUR","ER_WAT_SUR","ER_STO","pcdem_SAU","pcdem_WAT","pcdem_SUR"
"15",2004,2245090.38645102,3220440.8958,1967059.92590046,2052746.26582779,2434378.10092,1872297.00212248,7976767.96202256,9613618.78248998,10498657.9415019,4463700270.35456,5309287839.50966,6315060522.76355,6728338840.09407,7810812374.99735,9067437209.59193,0.287433659735269,0.412305499247265,0.184691574658801,51.4744831184905,50.9559286912855,62.6437118829087
"16",2005,2009960.58871179,2817724.12138,1894113.34438067,1837210.25011144,2132561.47481,1808711.99689644,7556972.27960184,9042618.90139726,9954778.11855214,4095204037.99267,4882494442.50177,5821139010.38872,6281681517.41533,7305257297.51121,8495620803.90211,0.275138918022306,0.385711824597876,0.185215231232927,42.7813183235975,54.6940143632305,62.6901128398703
"17",2006,1938572.20492371,3124481.12843,1700688.08379126,1768647.83274963,2466286.33839,1591518.56093468,7333247.11625702,8907475.06883116,9727807.33160106,4230955699.90501,5042914297.65058,6010695081.02378,6402649503.41515,7441151587.79414,8648097466.9934,0.260520456014307,0.419892148623224,0.184498630285053,51.7661740454432,53.4719311681181,70.3215450320588
"18",2007,1547945.10059998,2946251.25624,1581581.38510826,1417780.08731939,2378371.42751,1450149.17963733,6735140.48199418,8306765.26833123,9023549.35163534,4587590132.54952,5451235408.47277,6477467825.15484,7140344712.86108,8277456489.34885,9595655208.30571,0.187007337651587,0.355936785657664,0.18469139508739,50.2234113082573,44.8233111731014,72.9948412139326
"19",2008,1499781.18264016,2743283.44803,1625037.92393896,1370796.14456148,2129926.99166,1512773.07982412,7031264.4664771,8787863.29486527,9629128.8595482,4389951954.70164,5244890633.8321,6266327751.35447,6699946382.7013,7797101378.0176,9073921853.47199,0.192351119977547,0.351833753985058,0.180649542713988,61.9204081146842,53.8437093931672,78.2720636217965
"20",2009,1668019.74612855,2909851.31201,1714051.63007572,1529786.41903301,2296967.35033,1614116.93781276,7491487.55765855,9563475.13246347,10559557.8867578,4558752669.46447,5433693411.56696,6476557565.55322,6908249015.32392,8036162929.29659,9348232016.96247,0.207564202070571,0.362094613761732,0.167776663911305,58.4154590734379,45.6666672723053,62.4301242897243
"21",2010,1695036.73965272,3010650.93651,1823285.63353279,1551414.80569942,2371984.3382,1739934.19751347,8049679.25703671,10359843.5612052,11679150.8035022,5117670820.44816,6075824443.61723,7213367948.98108,7217293933.57908,8364469996.52575,9693987658.9014,0.202647237703855,0.359933257906418,0.162283630236804,61.005334135636,51.4759983380873,67.1655587457049
"22",2011,1628439.15759176,2778206.49196,1627910.62494641,1494193.69492737,2146957.42241,1551445.18112487,8158490.24157329,10351077.0684613,11623893.6787791,6100846544.77451,7289282347.72007,8709223671.63843,8514726926.89622,9910688168.78774,11535512626.7982,0.164311411060262,0.280324276644033,0.15049302872998,54.668737054627,52.0893513984348,60.3855891673683
"23",2012,1368462.27532743,2321323.96482,1456241.75630528,1227018.5747872,1888728.37372,1364417.63316409,7630995.34959527,9584138.94335444,10561643.7108144,5321120652.81212,6390236736.79808,7674158925.666,7747677845.86811,9054619000.70364,10582025592.5622,0.151134164255954,0.256369038237789,0.143395033085671,42.5564519026316,41.3145536584421,64.2209985570188
"24",2013,1774291.46384461,2313160.56896,1683460.58894013,1627649.4452045,1846790.47586,1610907.18448574,7524318.18392388,9520269.19032345,10535514.8506273,5125984115.90421,6191756713.04022,7479120170.21845,7319790868.82706,8588318014.19243,10076682194.1624,0.206593591540572,0.269338019986852,0.170174194526634,48.9795678532105,52.9919293276746,63.0014592049002
"25",2014,1891005.63063949,2581354.07192,1845902.31974476,1745912.8671643,2072796.59281,1759813.80739774,7987010.45292752,10045874.4491844,11066070.3784197,6834077246.25729,8305590598.52654,10093950171.2702,9930132356.33891,11695875502.9684,13775597229.9417,0.161681408985549,0.220706356806282,0.167419233653088,41.0769012386603,55.4808916659967,59.5012285483355
"26",2015,1982779.54491684,2968775.43458,1908603.59125202,1850400.81861272,2435948.47072,1822132.33281529,8273013.14577549,10408580.0831502,11954246.643957,6827195545.89326,8172312679.86987,9782449336.42425,9864838508.94303,11500280921.7371,13406855181.5595,0.172411400939703,0.258148079580265,0.162456037866328,43.2428367770521,57.0315072344358,64.1496173035436
